Time,O1,H1,L1,C1,V1,O2,H2,L2,C2,V2
2019-01-04 02:16:00 +0800 +08,144.05,144.12,143.68,143.99,31482.03051970001,144.13,144.29,144.06,144.19,21811.794645000005
2019-01-04 02:17:00 +0800 +08,144,144.29,144,144.26,14977.107636600003,144.24,144.44,144.13,144.44,10243.584634999997
2019-01-04 02:18:00 +0800 +08,144.28,144.47,144.24,144.44,14968.450451999997,144.45,144.57,144.45,144.56,4177.460709999999
2019-01-04 02:19:00 +0800 +08,144.44,144.57,144.4,144.53,13395.938239199997,144.56,144.65,144.55,144.63,11474.117745999998
2019-01-04 02:20:00 +0800 +08,144.57,144.63,144.22,144.56,18366.111973499992,144.68,144.75,144.59,144.7,8110.387947
2019-01-04 02:21:00 +0800 +08,144.56,144.68,144.55,144.66,11132.650593100001,144.71,144.82,144.71,144.79,6823.224066000001
2019-01-04 02:22:00 +0800 +08,144.69,144.69,144.64,144.68,17572.3941222,144.81,144.82,144.76,144.82,3452.98972
2019-01-04 02:23:00 +0800 +08,144.66,144.8,144.6,144.66,15395.268851300003,144.82,144.83,144.77,144.81,13270.719589999997
2019-01-04 02:24:00 +0800 +08,144.54,144.63,144.54,144.58,22829.50206410001,144.82,144.82,144.69,144.73,20347.7574
2019-01-04 02:25:00 +0800 +08,144.59,144.6,144.39,144.4,38253.08874590001,144.72,144.74,144.49,144.51,17971.023106
2019-01-04 02:26:00 +0800 +08,144.44,144.44,144,144,23606.515302000003,144.49,144.5,144.2,144.2,15738.388111999999
2019-01-04 02:27:00 +0800 +08,144.01,144.19,144.01,144.07,30364.005339700005,144.13,144.29,144.13,144.23,14487.801080000001
2019-01-04 02:28:00 +0800 +08,144.04,144.08,143.88,143.99,22494.33576819999,144.24,144.25,144.11,144.2,10225.254059000004
2019-01-04 02:29:00 +0800 +08,143.99,143.99,143.89,143.92,18573.992703699998,144.11,144.16,144.08,144.09,11328.968374999999
2019-01-04 02:30:00 +0800 +08,143.91,143.97,143.9,143.91,15649.244401499996,144.16,144.16,144.09,144.1,10776.494825
2019-01-04 02:31:00 +0800 +08,143.91,143.94,143.77,143.77,25216.109898600007,144.05,144.09,143.98,143.98,12275.246833
2019-01-04 02:32:00 +0800 +08,143.78,144.03,143.78,143.91,16328.012079400003,143.91,144.11,143.9,144.06,15481.590114999999
2019-01-04 02:33:00 +0800 +08,143.9,144.2,143.9,144.1,30290.0700813,144.12,144.23,144.09,144.23,14862.653829999997
2019-01-04 02:34:00 +0800 +08,144.1,144.35,144.1,144.35,19147.319867099985,144.26,144.38,144.26,144.36,11762.239336
2019-01-04 02:35:00 +0800 +08,144.28,144.43,144.27,144.39,15397.800443099999,144.18,144.45,144.18,144.44,6778.668955
2019-01-04 02:36:00 +0800 +08,144.36,144.72,144.36,144.67,21715.953573399995,144.48,144.68,144.37,144.68,6310.780446999998
2019-01-04 02:37:00 +0800 +08,144.64,144.81,144.64,144.69,19872.548657500003,144.72,144.76,144.72,144.75,4635.309314
2019-01-04 02:38:00 +0800 +08,144.7,144.7,144.3,144.35,22030.181649799993,144.75,144.75,144.28,144.28,16762.467542
2019-01-04 02:39:00 +0800 +08,144.34,144.4,144.3,144.35,20534.344476500002,144.37,144.38,144.3,144.38,6099.872885
2019-01-04 02:40:00 +0800 +08,144.33,144.58,144.3,144.45,16394.548289699997,144.37,144.56,144.37,144.49,13331.087480999999
2019-01-04 02:41:00 +0800 +08,144.4,144.62,144.4,144.61,21768.298757100005,144.49,144.55,144.49,144.55,5143.897535
2019-01-04 02:42:00 +0800 +08,144.57,144.63,144.55,144.63,11072.988756,144.55,144.69,144.54,144.69,6773.628817
2019-01-04 02:43:00 +0800 +08,144.6,144.61,144.4,144.4,22135.924120099997,144.62,144.62,144.45,144.5,7906.226671999999
2019-01-04 02:44:00 +0800 +08,144.4,144.42,144.33,144.42,17393.804588000006,144.45,144.46,144.42,144.46,6186.270909000001
